ds,yhat,yhat_lower,yhat_upper
2009-12-01,55969.64938058863,39539.49772555916,71278.5796615973
2009-12-02,53541.91612260723,36270.02156496543,70750.76962763353
2009-12-03,60685.9061370729,43402.519496728804,76680.40774491467
2009-12-04,50728.09878302258,34082.58931146693,66569.27968779944
2009-12-05,9853.063415338147,0.0,25461.009467597592
2009-12-06,40121.97032036553,23681.012652456648,55792.17429435256
2009-12-07,50628.56990054432,35595.10444790295,66866.93597088692
2009-12-08,52150.680156249924,36890.145962549555,68498.88548548252
2009-12-09,48044.86641119511,32746.93101162472,64082.82489056598
2009-12-10,53503.66151183625,36978.01550342659,69296.70014374258
2009-12-11,41888.84866248147,25579.06273135951,57074.972166944615
2009-12-13,28195.60016361783,12126.013961227114,44597.10737017749
2009-12-14,37341.1094795056,21212.644183724176,53482.846604969294
2009-12-15,37666.59258517043,22013.013360234294,54746.841637819096
2009-12-16,32557.058799019884,17380.280823132893,49529.54950688486
2009-12-17,37229.622238107884,21281.43047987502,53591.05986146387
2009-12-18,25066.112728093918,10763.431848340291,41420.751387651755
2009-12-20,11042.335493673447,0.0,28142.148653236498
2009-12-21,20419.002345202694,5444.4546093772815,36958.98169599156
2009-12-22,21238.70335461956,5549.475838169829,37964.10871029574
2009-12-23,16878.04368029656,814.5376071808533,32168.334800677047
2010-01-04,15298.235945263179,0.0,29712.996311519637
2010-01-05,19326.40527263574,3222.718185624759,35746.39946487574
2010-01-06,18042.086969339412,2434.7573005193394,34566.772005280574
2010-01-07,26586.196090269197,10563.388279476188,43058.33798248606
2010-01-08,18263.927246664305,2888.4795456987376,35311.294168581815
2010-01-10,11533.741312930377,0.0,27501.191531830606
2010-01-11,24223.260693253997,8200.170950962816,40126.53596412545
2010-01-12,28049.754346732057,12358.670429571028,43608.63440821271
2010-01-13,26336.605650942343,11324.311888207656,41961.5302675233
2010-01-14,34242.422228254,18608.648962574844,49929.92693644801
2010-01-15,25094.918544876473,9029.033162930402,41529.876067324905
2010-01-17,16263.740375717023,215.98099305649615,34370.81117473816
2010-01-18,27740.470491014723,11970.687871844091,43381.13322719434
2010-01-19,30291.467049801468,13911.468833409062,46352.4074829941
2010-01-20,27275.502770377054,9524.518342130275,43324.22412322992
2010-01-21,33886.481026370195,17864.041321225308,50439.320167143174
2010-01-22,23486.402871667266,7271.996719465099,39570.45877372202
2010-01-24,12403.762924288421,0.0,27432.85006632832
2010-01-25,22937.5611792514,5764.161113720503,39853.404848221304
2010-01-26,24693.020975701667,8125.284868488981,41266.08277084021
2010-01-27,21051.93341657294,4582.3067644856565,38047.289735883256
2010-01-28,27220.83826101108,10529.344488110813,42871.64528043894
2010-01-29,16569.159425747745,167.7202440610264,30937.5989925462
2010-01-31,5557.903925783859,0.0,21417.020860665492
2010-02-01,16403.287926210705,0.0,32096.222832475374
2010-02-02,18643.93273472799,2526.862902388295,35046.43625323578
2010-02-03,15638.912319422645,0.0,32486.40598341497
2010-02-04,22573.715866379196,7020.390668512177,38474.01784506866
2010-02-05,12793.624948950493,0.0,28829.64509133547
2010-02-07,3735.019111898844,0.0,20256.269756736827
2010-02-08,15604.538722019253,0.0,31986.628662047937
2010-02-09,18862.79447244374,3329.6525492055384,33004.02592200132
2010-02-10,16840.94530675384,0.0,32415.089627931215
2010-02-11,24698.204512551263,9529.386629918667,41765.29267684077
2010-02-12,15755.928427955772,0.0,30754.34668907143
2010-02-14,8038.787007488963,0.0,24448.943836643895
2010-02-15,20381.06939524563,4431.527036021314,36442.687758022
2010-02-16,23966.411714796803,8259.200255905482,39674.297038885394
2010-02-17,22113.434191355893,5726.627233237959,38414.967788961905
2010-02-18,29988.85282560886,12463.793103989861,45607.148201422235
2010-02-19,20918.167516533376,3806.624821762743,36485.3858131929
2010-02-21,12541.797146608413,0.0,29812.51556112426
2010-02-22,24381.186896260257,8660.797673361063,40250.48776897612
2010-02-23,27371.963235319592,11996.018314369927,43359.600136800735
2010-02-24,24861.457527199713,8614.762869817634,40783.21812795355
2010-02-25,32031.207906415704,16688.554628421192,47093.39698215686
2010-02-26,22230.266761811814,6630.3894863576525,37386.99505122924
2010-02-28,12414.296947572851,0.0,27525.971787407063
2010-03-01,23589.786651645547,6435.409879549055,39673.093215943234
2010-03-02,25981.621479614045,9228.531956431809,41494.69741024471
